product_i,product_j,city,cross_elast
540432,543784,Mumbai,0.0173
540432,553767,Mumbai,0.0173
540432,553768,Mumbai,0.0173
540432,553770,Mumbai,0.0173
540432,560813,Mumbai,0.0173
540432,572518,Mumbai,0.0173
540432,750931,Mumbai,0.0173
540432,751647,Mumbai,0.0173
540432,753392,Mumbai,0.0173
540438,540432,Mumbai,0.0173
540438,541681,Mumbai,0.0173
540438,543783,Mumbai,0.0173
540438,543784,Mumbai,0.0173
540438,553767,Mumbai,0.0173
540438,553768,Mumbai,0.0173
540438,553770,Mumbai,0.0173
540438,560813,Mumbai,0.0173
540438,572518,Mumbai,0.0173
540438,750931,Mumbai,0.0173
540438,751647,Mumbai,0.0173
540438,753392,Mumbai,0.0173
541681,540432,Mumbai,0.0173
541681,540438,Mumbai,0.0173
541681,543783,Mumbai,0.0173
541681,543784,Mumbai,0.0173
541681,553767,Mumbai,0.0173
541681,553768,Mumbai,0.0173
541681,553770,Mumbai,0.0173
541681,560813,Mumbai,0.0173
541681,572518,Mumbai,0.0173
541681,750931,Mumbai,0.0173
541681,751647,Mumbai,0.0173
541681,753392,Mumbai,0.0173
543783,540432,Mumbai,0.0173
543783,540438,Mumbai,0.0173
543783,541681,Mumbai,0.0173
543783,543784,Mumbai,0.0173
